assetCode,windowTimestamp,Open,High,Low,Last
Wc1,1999-10-19T03:00:00.000000000Z,261.0,261.0,260.5,260.5
Wc1,1999-10-19T04:00:00.000000000Z,260.75,261.25,260.75,261.25
Wc1,1999-10-19T08:00:00.000000000Z,261.0,261.0,261.0,261.0
Wc1,1999-10-19T09:00:00.000000000Z,260.75,260.75,260.25,260.25
Wc1,1999-10-19T14:00:00.000000000Z,260.5,263.5,260.25,262.75
Wc1,1999-10-19T15:00:00.000000000Z,263.0,263.5,261.75,262.5
Wc1,1999-10-19T16:00:00.000000000Z,262.25,264.0,262.25,263.5
Wc1,1999-10-19T17:00:00.000000000Z,263.75,264.0,262.25,263.25
Wc1,1999-10-19T18:00:00.000000000Z,263.0,263.5,262.5,263.0
Wc1,1999-10-20T02:00:00.000000000Z,263.25,264.25,263.0,264.0
Wc1,1999-10-20T03:00:00.000000000Z,263.0,263.0,263.0,263.0
Wc1,1999-10-20T04:00:00.000000000Z,263.5,263.5,263.5,263.5
Wc1,1999-10-20T06:00:00.000000000Z,264.0,264.0,264.0,264.0
Wc1,1999-10-20T08:00:00.000000000Z,263.5,263.5,263.5,263.5
Wc1,1999-10-20T09:00:00.000000000Z,264.0,264.25,264.0,264.25
Wc1,1999-10-20T14:00:00.000000000Z,264.0,264.75,263.0,263.0
Wc1,1999-10-20T15:00:00.000000000Z,263.25,263.5,257.75,259.0
Wc1,1999-10-20T16:00:00.000000000Z,258.75,259.75,258.5,259.0
Wc1,1999-10-20T17:00:00.000000000Z,259.25,259.75,258.75,259.25
Wc1,1999-10-20T18:00:00.000000000Z,258.5,258.75,257.5,257.75
Wc1,1999-10-21T02:00:00.000000000Z,257.75,258.5,257.75,257.75
Wc1,1999-10-21T03:00:00.000000000Z,258.0,258.0,258.0,258.0
Wc1,1999-10-21T05:00:00.000000000Z,257.75,257.75,257.75,257.75
Wc1,1999-10-21T06:00:00.000000000Z,257.5,257.5,257.5,257.5
Wc1,1999-10-21T07:00:00.000000000Z,257.75,257.75,257.75,257.75
Wc1,1999-10-21T08:00:00.000000000Z,257.5,257.5,257.5,257.5
Wc1,1999-10-21T14:00:00.000000000Z,257.5,258.0,256.5,257.75
Wc1,1999-10-21T15:00:00.000000000Z,258.0,258.0,256.0,256.5
Wc1,1999-10-21T16:00:00.000000000Z,256.75,256.75,254.5,255.5
Wc1,1999-10-21T17:00:00.000000000Z,255.75,256.0,254.5,255.0
Wc1,1999-10-21T18:00:00.000000000Z,255.25,258.0,255.0,257.0
Wc1,1999-10-22T02:00:00.000000000Z,257.0,257.0,257.0,257.0
